ID,SMILES,STATUS,REASONS,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
ether_ethyl__pyridyl_4,OC12CCC3(OCCc4ccncc4)CC(CC(C1)C3)C2,PASS,—,287.4,3.115,42.35,1,3,0.925,4,0
ether_ethyl__methyl_pyridyl_4,Cc1cc(CCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,301.43,3.423,42.35,1,3,0.926,4,0
ether_ethyl__fluoro_pyridyl_4,OC12CCC3(OCCc4ccnc(F)c4)CC(CC(C1)C3)C2,PASS,—,305.39,3.254,42.35,1,3,0.868,4,0
ether_ethyl__cyano_pyridyl_4,N#Cc1cc(CCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,312.41,2.986,66.14,1,4,0.928,4,0
ether_ethyl__bipyridyl,OC12CCC3(OCCc4ccnc(-c5ccncc5)c4)CC(CC(C1)C3)C2,FAIL,LogP=4.18>4.0,364.49,4.177,55.24,1,4,0.865,5,0
ether_ethyl__pyridyl_4_OH,Oc1cc(CCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,303.4,2.82,62.58,2,4,0.898,4,0
ether_ethyl__fluorophenyl,OC12CCC3(OCCc4ccc(F)cc4)CC(CC(C1)C3)C2,PASS,—,304.41,3.859,29.46,1,2,0.915,4,0
ether_propyl__pyridyl_4,OC12CCC3(OCCCc4ccncc4)CC(CC(C1)C3)C2,PASS,—,301.43,3.505,42.35,1,3,0.846,5,0
ether_propyl__methyl_pyridyl_4,Cc1cc(CCCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,315.46,3.813,42.35,1,3,0.84,5,0
ether_propyl__fluoro_pyridyl_4,OC12CCC3(OCCCc4ccnc(F)c4)CC(CC(C1)C3)C2,PASS,—,319.42,3.644,42.35,1,3,0.665,5,0
ether_propyl__cyano_pyridyl_4,N#Cc1cc(CCCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,326.44,3.376,66.14,1,4,0.843,5,0
ether_propyl__bipyridyl,OC12CCC3(OCCCc4ccnc(-c5ccncc5)c4)CC(CC(C1)C3)C2,FAIL,LogP=4.57>4.0,378.52,4.567,55.24,1,4,0.748,6,0
ether_propyl__pyridyl_4_OH,Oc1cc(CCCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,317.43,3.21,62.58,2,4,0.819,5,0
ether_propyl__fluorophenyl,OC12CCC3(OCCCc4ccc(F)cc4)CC(CC(C1)C3)C2,FAIL,LogP=4.25>4.0,318.43,4.249,29.46,1,2,0.823,5,0
ether_direct__pyridyl_4,OC12CCC3(Oc4ccncc4)CC(CC(C1)C3)C2,PASS,—,259.35,2.934,42.35,1,3,0.888,2,0
ether_direct__methyl_pyridyl_4,Cc1cc(OC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,273.38,3.243,42.35,1,3,0.899,2,0
ether_direct__fluoro_pyridyl_4,OC12CCC3(Oc4ccnc(F)c4)CC(CC(C1)C3)C2,PASS,—,277.34,3.073,42.35,1,3,0.845,2,0
ether_direct__cyano_pyridyl_4,N#Cc1cc(OC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,284.36,2.806,66.14,1,4,0.907,2,0
ether_direct__bipyridyl,OC12CCC3(Oc4ccnc(-c5ccncc5)c4)CC(CC(C1)C3)C2,PASS,—,336.44,3.996,55.24,1,4,0.92,3,0
ether_direct__pyridyl_4_OH,Oc1cc(OC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,275.35,2.64,62.58,2,4,0.871,2,0
ether_direct__fluorophenyl,OC12CCC3(Oc4ccc(F)cc4)CC(CC(C1)C3)C2,PASS,—,276.35,3.678,29.46,1,2,0.893,2,0
amide_ethyl__pyridyl_4,O=C(NCCc1ccncc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,314.43,2.462,62.22,2,3,0.897,4,0
amide_ethyl__methyl_pyridyl_4,Cc1cc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,328.46,2.77,62.22,2,3,0.893,4,0
amide_ethyl__fluoro_pyridyl_4,O=C(NCCc1ccnc(F)c1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,332.42,2.601,62.22,2,3,0.833,4,0
amide_ethyl__cyano_pyridyl_4,N#Cc1cc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,339.44,2.333,86.01,2,4,0.881,4,0
amide_ethyl__bipyridyl,O=C(NCCc1ccnc(-c2ccncc2)c1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,391.52,3.524,75.11,2,4,0.818,5,0
amide_ethyl__pyridyl_4_OH,O=C(NCCc1ccnc(O)c1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,330.43,2.167,82.45,3,4,0.79,4,0
amide_ethyl__fluorophenyl,O=C(NCCc1ccc(F)cc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,331.43,3.206,49.33,2,2,0.89,4,0
