ID,SMILES,STATUS,REASONS,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
amide_ethyl__pyridyl_4,O=C(NCCc1ccncc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,314.43,2.462,62.22,2,3,0.897,4,0
amide_ethyl__pyridyl_3,O=C(NCCc1cccnc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,314.43,2.462,62.22,2,3,0.897,4,0
amide_ethyl__pyridyl_2,O=C(NCCc1ccccn1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,314.43,2.462,62.22,2,3,0.897,4,0
amide_ethyl__fluorophenyl,O=C(NCCc1ccc(F)cc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,331.43,3.206,49.33,2,2,0.89,4,0
amide_ethyl__methoxyphenyl,COc1ccc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)cc1,PASS,—,343.47,3.075,58.56,2,3,0.864,5,0
amide_ethyl__pyrimidyl,O=C(NCCc1ncccn1)C12CCC3(O)CC(CC(C3)C1)C2,FAIL,LogP=1.86<2.0,315.42,1.857,75.11,2,4,0.889,4,0
amide_ethyl__aminopyridyl,Nc1cc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,329.44,2.044,88.24,3,4,0.789,4,0
amide_direct__pyridyl_4,O=C(Nc1ccncc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,286.38,2.742,62.22,2,3,0.878,2,0
amide_direct__pyridyl_3,O=C(Nc1cccnc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,286.38,2.742,62.22,2,3,0.878,2,0
amide_direct__pyridyl_2,O=C(Nc1ccccn1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,286.38,2.742,62.22,2,3,0.878,2,0
amide_direct__fluorophenyl,O=C(Nc1ccc(F)cc1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,303.38,3.486,49.33,2,2,0.878,2,0
amide_direct__methoxyphenyl,COc1ccc(NC(=O)C23CCC4(O)CC(CC(C4)C2)C3)cc1,PASS,—,315.41,3.355,58.56,2,3,0.899,3,0
amide_direct__pyrimidyl,O=C(Nc1ncccn1)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,287.36,2.136,75.11,2,4,0.874,2,0
amide_direct__aminopyridyl,Nc1cc(NC(=O)C23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,301.39,2.324,88.24,3,4,0.782,2,0
ether_ethyl__pyridyl_4,OC12CCC3(OCCc4ccncc4)CC(CC(C1)C3)C2,PASS,—,287.4,3.115,42.35,1,3,0.925,4,0
ether_ethyl__pyridyl_3,OC12CCC3(OCCc4cccnc4)CC(CC(C1)C3)C2,PASS,—,287.4,3.115,42.35,1,3,0.925,4,0
ether_ethyl__pyridyl_2,OC12CCC3(OCCc4ccccn4)CC(CC(C1)C3)C2,PASS,—,287.4,3.115,42.35,1,3,0.925,4,0
ether_ethyl__fluorophenyl,OC12CCC3(OCCc4ccc(F)cc4)CC(CC(C1)C3)C2,PASS,—,304.41,3.859,29.46,1,2,0.915,4,0
ether_ethyl__methoxyphenyl,COc1ccc(CCOC23CCC4(O)CC(CC(C4)C2)C3)cc1,PASS,—,316.44,3.728,38.69,1,3,0.899,5,0
ether_ethyl__pyrimidyl,OC12CCC3(OCCc4ncccn4)CC(CC(C1)C3)C2,PASS,—,288.39,2.51,55.24,1,4,0.925,4,0
ether_ethyl__aminopyridyl,Nc1cc(CCOC23CCC4(O)CC(CC(C4)C2)C3)ccn1,PASS,—,302.42,2.697,68.37,2,4,0.897,4,0
