ID,SMILES,STATUS,REASONS,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
ether_direct__cyano_pyridyl_4,N#Cc1cnccc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,284.36,2.806,66.14,1,4,0.907,2,0
ether_direct__cyano_pyridyl_3,N#Cc1ccncc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,284.36,2.806,66.14,1,4,0.907,2,0
ether_direct__dicyano_phenyl,N#Cc1cc(C#N)cc(OC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,308.38,3.283,77.04,1,4,0.909,2,0
ether_direct__cyano_fluorophenyl,N#Cc1cc(F)cc(OC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__cyano_pyrimidyl,N#Cc1cncnc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,285.35,2.201,79.03,1,5,0.901,2,0
ether_direct__trifluoromethyl_py,OC12CCC3(Oc4ccncc4C(F)(F)F)CC(CC(C1)C3)C2,PASS,—,327.35,3.953,42.35,1,3,0.894,2,0
ether_direct__sulfonyl_phenyl,NS(=O)(=O)c1ccc(OC23CCC4(O)CC(CC(C4)C2)C3)cc1,PASS,—,337.44,2.187,89.62,2,4,0.885,3,0
ether_direct__hydroxymethyl_py,OCc1cnccc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,289.38,2.427,62.58,2,4,0.897,3,0
amino_direct__cyano_pyridyl_4,N#Cc1cnccc1NC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,283.38,2.839,68.94,2,4,0.875,2,0
amino_direct__cyano_pyridyl_3,N#Cc1ccncc1NC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,283.38,2.839,68.94,2,4,0.875,2,0
amino_direct__dicyano_phenyl,N#Cc1cc(C#N)cc(NC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,307.4,3.316,79.84,2,4,0.878,2,0
amino_direct__cyano_fluorophenyl,N#Cc1cc(F)cc(NC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,300.38,3.583,56.05,2,3,0.877,2,0
amino_direct__cyano_pyrimidyl,N#Cc1cncnc1NC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,284.36,2.234,81.83,2,5,0.87,2,0
amino_direct__trifluoromethyl_py,OC12CCC3(Nc4ccncc4C(F)(F)F)CC(CC(C1)C3)C2,PASS,—,326.36,3.986,45.15,2,3,0.864,2,0
amino_direct__sulfonyl_phenyl,NS(=O)(=O)c1ccc(NC23CCC4(O)CC(CC(C4)C2)C3)cc1,FAIL,TPSA=92.42>90 ; QED=0.79<0.85,336.46,2.22,92.42,3,4,0.789,3,0
amino_direct__hydroxymethyl_py,OCc1cnccc1NC12CCC3(O)CC(CC(C3)C1)C2,FAIL,QED=0.8<0.85,288.39,2.46,65.38,3,4,0.799,3,0
amide_ethyl__cyano_pyridyl_4,N#Cc1cnccc1CCNC(=O)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,339.44,2.333,86.01,2,4,0.881,4,0
amide_ethyl__cyano_pyridyl_3,N#Cc1ccncc1CCNC(=O)C12CCC3(O)CC(CC(C3)C1)C2,PASS,—,339.44,2.333,86.01,2,4,0.881,4,0
amide_ethyl__dicyano_phenyl,N#Cc1cc(C#N)cc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)c1,FAIL,TPSA=96.91>90,363.46,2.81,96.91,2,4,0.859,4,0
amide_ethyl__cyano_fluorophenyl,N#Cc1cc(F)cc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,356.44,3.077,73.12,2,3,0.871,4,0
amide_ethyl__cyano_pyrimidyl,N#Cc1cncnc1CCNC(=O)C12CCC3(O)CC(CC(C3)C1)C2,FAIL,LogP=1.73<2.0 ; TPSA=98.9>90,340.43,1.728,98.9,2,5,0.869,4,0
amide_ethyl__trifluoromethyl_py,O=C(NCCc1ccncc1C(F)(F)F)C12CCC3(O)CC(CC(C3)C1)C2,FAIL,QED=0.84<0.85,382.43,3.481,62.22,2,3,0.838,4,0
amide_ethyl__sulfonyl_phenyl,NS(=O)(=O)c1ccc(CCNC(=O)C23CCC4(O)CC(CC(C4)C2)C3)cc1,FAIL,LogP=1.71<2.0 ; TPSA=109.49>90 ; QED=0.71<0.85,392.52,1.714,109.49,3,4,0.709,5,0
amide_ethyl__hydroxymethyl_py,O=C(NCCc1ccncc1CO)C12CCC3(O)CC(CC(C3)C1)C2,FAIL,LogP=1.95<2.0 ; QED=0.76<0.85,344.46,1.954,82.45,3,4,0.762,5,0
