Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -148.1165    -148.1165       0.0000     0.0
0.0200        -148.0875    -148.1383       0.0507    12.3
0.0400        -147.9149    -148.0223       0.1073    26.0
0.0600        -147.7213    -147.9609       0.2397    57.9
0.0800        -147.5541    -148.0222       0.4681   113.2
0.1000        -147.3810    -147.6630       0.2819    68.2
0.1200        -147.2224    -147.8881       0.6657   160.9
0.1400        -147.0752    -147.5840       0.5088   123.0
0.1600        -146.9281    -147.7097       0.7817   189.0
0.1800        -146.8060    -147.5544       0.7484   180.9
0.2000        -146.6607    -147.2633       0.6027   145.7
0.2200        -146.5276    -147.2818       0.7542   182.3
0.2400        -146.3756    -146.8354       0.4598   111.2
0.2600        -146.2304    -146.9608       0.7304   176.6
0.2800        -146.1093    -147.0430       0.9337   225.7
0.3000        -145.9947    -147.0254       1.0306   249.2
0.3200        -145.9005    -146.8611       0.9606   232.2
0.3400        -145.7594    -146.4639       0.7045   170.3
0.3600        -145.6691    -146.9952       1.3261   320.6
0.3800        -145.5825    -147.0725       1.4901   360.2
0.4000        -145.5767    -147.7515       2.1748   525.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -227.9953    -227.9953       0.0000     0.0
0.0200        -227.9641    -228.0261       0.0620     9.6
0.0400        -227.7066    -228.0057       0.2991    46.3
0.0600        -227.4194    -227.8479       0.4285    66.3
0.0800        -227.1446    -227.6912       0.5466    84.6
0.1000        -226.8825    -227.5951       0.7126   110.3
0.1200        -226.6398    -227.5687       0.9289   143.7
0.1400        -226.4166    -227.4577       1.0412   161.1
0.1600        -226.2001    -227.3335       1.1333   175.4
0.1800        -225.9959    -227.2197       1.2239   189.4
0.2000        -225.7913    -226.9412       1.1499   177.9
0.2200        -225.5823    -226.7199       1.1376   176.0
0.2400        -225.3807    -226.7462       1.3655   211.3
0.2600        -225.1935    -226.4449       1.2514   193.6
0.2800        -224.9978    -226.4251       1.4273   220.8
0.3000        -224.8239    -226.2876       1.4637   226.5
0.3200        -224.6419    -226.0952       1.4533   224.9
0.3400        -224.4834    -226.2222       1.7388   269.0
0.3600        -224.3392    -226.3023       1.9631   303.7
0.3800        -224.2021    -225.8567       1.6546   256.0
0.4000        -224.0714    -226.4858       2.4144   373.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -77.0086     -77.0086       0.0000     0.0
0.0200         -77.0029     -77.0155       0.0127     7.0
0.0400         -76.9361     -77.0414       0.1053    58.2
0.0600         -76.8609     -77.0676       0.2067   114.2
0.0800         -76.7945     -77.0706       0.2761   152.6
0.1000         -76.7331     -77.0316       0.2985   164.9
0.1200         -76.6720     -76.9576       0.2856   157.8
0.1400         -76.6090     -76.8701       0.2611   144.3
0.1600         -76.5435     -76.7793       0.2358   130.3
0.1800         -76.4758     -76.7001       0.2243   123.9
0.2000         -76.4082     -76.6452       0.2370   131.0
0.2200         -76.3428     -76.6153       0.2725   150.6
0.2400         -76.2817     -76.6035       0.3218   177.8
0.2600         -76.2259     -76.6041       0.3783   209.0
0.2800         -76.1761     -76.6169       0.4408   243.6
0.3000         -76.1322     -76.6252       0.4930   272.4
0.3200         -76.0926     -76.6186       0.5259   290.6
0.3400         -76.0556     -76.5979       0.5423   299.7
0.3600         -76.0197     -76.5694       0.5497   303.8
0.3800         -75.9846     -76.5452       0.5607   309.8
0.4000         -75.9519     -76.5605       0.6086   336.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -56.1454     -56.1454       0.0000     0.0
0.0200         -56.1372     -56.1506       0.0134     8.0
0.0400         -56.1078     -56.1117       0.0039     2.3
0.0600         -56.0801     -56.1476       0.0675    40.2
0.0800         -56.0026     -56.0342       0.0316    18.8
0.1000         -55.9525     -56.0904       0.1379    82.1
0.1200         -55.8849     -55.9916       0.1067    63.5
0.1400         -55.8075     -55.9454       0.1379    82.1
0.1600         -55.7483     -55.9864       0.2380   141.7
0.1800         -55.6808     -55.8837       0.2029   120.8
0.2000         -55.6274     -55.9567       0.3293   196.0
0.2200         -55.5606     -55.6747       0.1141    67.9
0.2400         -55.5134     -56.0409       0.5276   314.0
0.2600         -55.4590     -55.6092       0.1501    89.3
0.2800         -55.4165     -56.0059       0.5893   350.7
0.3000         -55.3713     -55.4750       0.1038    61.8
0.3200         -55.3089     -55.9124       0.6034   359.1
0.3400         -55.2904     -55.5795       0.2891   172.0
0.3600         -55.2314     -55.9057       0.6742   401.2
0.3800         -55.2216     -55.6577       0.4361   259.5
0.4000         -55.1529     -55.3943       0.2414   143.7
