Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -53.6836     -53.6836       0.0000     0.0
0.0400         -53.4962     -53.9923       0.4961   295.3
0.0800         -53.2994     -53.8655       0.5661   336.9
0.1200         -53.1314     -53.8934       0.7619   453.4
0.1600         -53.0163     -53.8101       0.7937   472.3
0.2000         -52.8894     -53.7029       0.8135   484.1
0.2400         -52.7478     -53.7887       1.0409   619.4
0.2800         -52.7829     -54.4930       1.7100  1017.6
0.3200         -52.7025     -53.4182       0.7157   425.9
0.3600         -52.6254     -53.7695       1.1440   680.8
0.4000         -52.6654     -53.7258       1.0604   631.1
0.4400         -52.6169     -53.9875       1.3706   815.6
0.4800         -52.6291     -54.0142       1.3851   824.3
0.5200         -52.6711     -54.5479       1.8767  1116.9
0.5600         -52.7155     -53.8913       1.1758   699.7
0.6000         -52.5772     -53.8021       1.2249   729.0
0.6400         -52.4905     -54.0096       1.5191   904.0
0.6800         -52.5340     -53.9493       1.4152   842.2
0.7200         -52.5061     -53.7855       1.2795   761.4
0.7600         -52.6153     -54.5309       1.9157  1140.0
0.8000         -52.5807     -54.2106       1.6299   969.9
0.8400         -52.6022     -54.4294       1.8272  1087.4
0.8800         -52.5963     -54.0300       1.4338   853.2
0.9200         -52.6845     -54.3391       1.6546   984.6
0.9600         -52.6333     -53.6679       1.0345   615.7
1.0000         -52.6504     -54.0337       1.3833   823.2
1.0400         -52.6521     -53.7029       1.0507   625.3
1.0800         -52.7312     -54.8668       2.1356  1270.9
1.1200         -52.8031     -54.2937       1.4905   887.0
1.1600         -52.7306     -54.0547       1.3241   788.0
1.2000         -52.7823     -54.7466       1.9644  1169.0
1.2400         -52.7495     -54.3566       1.6071   956.4
1.2800         -52.7755     -54.5452       1.7697  1053.1
1.3200         -52.7781     -54.3418       1.5637   930.6
1.3600         -52.7440     -54.2926       1.5485   921.5
1.4000         -52.7259     -54.3379       1.6120   959.3
1.4400         -52.7262     -53.9325       1.2063   717.9
1.4800         -52.6988     -54.2015       1.5028   894.3
1.5200         -52.6928     -53.9682       1.2754   759.0
1.5600         -52.6322     -53.9655       1.3333   793.4
1.6000         -52.5821     -54.1126       1.5304   910.8
1.6400         -52.5366     -54.0554       1.5188   903.9
1.6800         -52.5926     -54.3757       1.7831  1061.1
1.7200         -52.6296     -54.0012       1.3716   816.2
1.7600         -52.5952     -54.0795       1.4843   883.3
1.8000         -52.5988     -54.3047       1.7060  1015.2
1.8400         -52.5828     -53.9944       1.4116   840.0
1.8800         -52.6038     -54.3484       1.7446  1038.2
1.9200         -52.6353     -54.1945       1.5592   927.9
1.9600         -52.6146     -54.2078       1.5932   948.1
2.0000         -52.6257     -54.2297       1.6039   954.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -53.6836     -53.6836       0.0000     0.0
0.0400         -53.4962     -53.9923       0.4961   295.3
0.0800         -53.2994     -53.8655       0.5661   336.9
0.1200         -53.1314     -53.8934       0.7619   453.4
0.1600         -53.0163     -53.8101       0.7937   472.3
0.2000         -52.8894     -53.7029       0.8135   484.1
0.2400         -52.7478     -53.7887       1.0409   619.4
0.2800         -52.7829     -54.4930       1.7100  1017.6
0.3200         -52.7025     -53.4182       0.7157   425.9
0.3600         -52.6254     -53.7695       1.1440   680.8
0.4000         -52.6654     -53.7258       1.0604   631.1
0.4400         -52.6169     -53.9875       1.3706   815.6
0.4800         -52.6291     -54.0142       1.3851   824.3
0.5200         -52.6711     -54.5479       1.8767  1116.9
0.5600         -52.7155     -53.8913       1.1758   699.7
0.6000         -52.5772     -53.8021       1.2249   729.0
0.6400         -52.4905     -54.0096       1.5191   904.0
0.6800         -52.5340     -53.9493       1.4152   842.2
0.7200         -52.5061     -53.7855       1.2795   761.4
0.7600         -52.6153     -54.5309       1.9157  1140.0
0.8000         -52.5807     -54.2106       1.6299   969.9
0.8400         -52.6022     -54.4294       1.8272  1087.4
0.8800         -52.5963     -54.0300       1.4338   853.2
0.9200         -52.6845     -54.3391       1.6546   984.6
0.9600         -52.6333     -53.6679       1.0345   615.7
1.0000         -52.6504     -54.0337       1.3833   823.2
1.0400         -52.6521     -53.7029       1.0507   625.3
1.0800         -52.7312     -54.8668       2.1356  1270.9
1.1200         -52.8031     -54.2937       1.4905   887.0
1.1600         -52.7306     -54.0547       1.3241   788.0
1.2000         -52.7823     -54.7466       1.9644  1169.0
1.2400         -52.7495     -54.3566       1.6071   956.4
1.2800         -52.7755     -54.5452       1.7697  1053.1
1.3200         -52.7781     -54.3418       1.5637   930.6
1.3600         -52.7440     -54.2926       1.5485   921.5
1.4000         -52.7259     -54.3379       1.6120   959.3
1.4400         -52.7262     -53.9325       1.2063   717.9
1.4800         -52.6988     -54.2015       1.5028   894.3
1.5200         -52.6928     -53.9682       1.2754   759.0
1.5600         -52.6322     -53.9655       1.3333   793.4
1.6000         -52.5821     -54.1126       1.5304   910.8
1.6400         -52.5366     -54.0554       1.5188   903.9
1.6800         -52.5926     -54.3757       1.7831  1061.1
1.7200         -52.6296     -54.0012       1.3716   816.2
1.7600         -52.5952     -54.0795       1.4843   883.3
1.8000         -52.5988     -54.3047       1.7060  1015.2
1.8400         -52.5828     -53.9944       1.4116   840.0
1.8800         -52.6038     -54.3484       1.7446  1038.2
1.9200         -52.6353     -54.1945       1.5592   927.9
1.9600         -52.6146     -54.2078       1.5932   948.1
2.0000         -52.6257     -54.2297       1.6039   954.5
