Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -52.8649     -52.8649       0.0000     0.0
0.0400         -52.6664     -53.2659       0.5994   356.7
0.0800         -52.4864     -52.8959       0.4095   243.7
0.1200         -52.2897     -53.0392       0.7496   446.1
0.1600         -52.1501     -53.2199       1.0698   636.7
0.2000         -52.0664     -53.3604       1.2940   770.1
0.2400         -51.9606     -53.0532       1.0926   650.2
0.2800         -51.8708     -53.3307       1.4599   868.8
0.3200         -51.7878     -52.7745       0.9868   587.2
0.3600         -51.7463     -52.9392       1.1929   709.9
0.4000         -51.6850     -52.6164       0.9315   554.3
0.4400         -51.6130     -52.9848       1.3718   816.3
0.4800         -51.5939     -52.7865       1.1926   709.7
0.5200         -51.4890     -52.6462       1.1572   688.7
0.5600         -51.4678     -52.4119       0.9441   561.9
0.6000         -51.3493     -52.5554       1.2061   717.8
0.6400         -51.3547     -52.6151       1.2604   750.1
0.6800         -51.2455     -52.2428       0.9973   593.5
0.7200         -51.2396     -52.6788       1.4392   856.5
0.7600         -51.2222     -52.8718       1.6496   981.7
0.8000         -51.2802     -52.9425       1.6624   989.3
0.8400         -51.2358     -52.8257       1.5899   946.2
0.8800         -51.2970     -52.7957       1.4987   891.9
0.9200         -51.2894     -52.7065       1.4171   843.3
0.9600         -51.2704     -52.5025       1.2321   733.2
1.0000         -51.2235     -52.8656       1.6421   977.2
1.0400         -51.2340     -52.4400       1.2060   717.7
1.0800         -51.2288     -52.8087       1.5798   940.2
1.1200         -51.3176     -53.1987       1.8810  1119.4
1.1600         -51.3909     -52.9452       1.5543   925.0
1.2000         -51.4353     -53.3321       1.8967  1128.7
1.2400         -51.4468     -53.0036       1.5569   926.5
1.2800         -51.4247     -52.6940       1.2693   755.4
1.3200         -51.4072     -52.7411       1.3339   793.8
1.3600         -51.4483     -53.0889       1.6405   976.3
1.4000         -51.4859     -53.3033       1.8174  1081.6
1.4400         -51.5368     -53.2668       1.7300  1029.5
1.4800         -51.5686     -53.0849       1.5163   902.3
1.5200         -51.5154     -52.5185       1.0031   596.9
1.5600         -51.5208     -53.3282       1.8074  1075.6
1.6000         -51.6059     -53.6299       2.0239  1204.5
1.6400         -51.7300     -53.9150       2.1850  1300.3
1.6800         -51.8404     -53.6507       1.8102  1077.3
1.7200         -51.8454     -53.4179       1.5725   935.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -52.8649     -52.8649       0.0000     0.0
0.0400         -52.6664     -53.2659       0.5994   356.7
0.0800         -52.4864     -52.8959       0.4095   243.7
0.1200         -52.2897     -53.0392       0.7496   446.1
0.1600         -52.1501     -53.2199       1.0698   636.7
0.2000         -52.0664     -53.3604       1.2940   770.1
0.2400         -51.9606     -53.0532       1.0926   650.2
0.2800         -51.8708     -53.3307       1.4599   868.8
0.3200         -51.7878     -52.7745       0.9868   587.2
0.3600         -51.7463     -52.9392       1.1929   709.9
0.4000         -51.6850     -52.6164       0.9315   554.3
0.4400         -51.6130     -52.9848       1.3718   816.3
0.4800         -51.5939     -52.7865       1.1926   709.7
0.5200         -51.4890     -52.6462       1.1572   688.7
0.5600         -51.4678     -52.4119       0.9441   561.9
0.6000         -51.3493     -52.5554       1.2061   717.8
0.6400         -51.3547     -52.6151       1.2604   750.1
0.6800         -51.2455     -52.2428       0.9973   593.5
0.7200         -51.2396     -52.6788       1.4392   856.5
0.7600         -51.2222     -52.8718       1.6496   981.7
0.8000         -51.2802     -52.9425       1.6624   989.3
0.8400         -51.2358     -52.8257       1.5899   946.2
0.8800         -51.2970     -52.7957       1.4987   891.9
0.9200         -51.2894     -52.7065       1.4171   843.3
0.9600         -51.2704     -52.5025       1.2321   733.2
1.0000         -51.2235     -52.8656       1.6421   977.2
1.0400         -51.2340     -52.4400       1.2060   717.7
1.0800         -51.2288     -52.8087       1.5798   940.2
1.1200         -51.3176     -53.1987       1.8810  1119.4
1.1600         -51.3909     -52.9452       1.5543   925.0
1.2000         -51.4353     -53.3321       1.8967  1128.7
1.2400         -51.4468     -53.0036       1.5569   926.5
1.2800         -51.4247     -52.6940       1.2693   755.4
1.3200         -51.4072     -52.7411       1.3339   793.8
1.3600         -51.4483     -53.0889       1.6405   976.3
1.4000         -51.4859     -53.3033       1.8174  1081.6
1.4400         -51.5368     -53.2668       1.7300  1029.5
1.4800         -51.5686     -53.0849       1.5163   902.3
1.5200         -51.5154     -52.5185       1.0031   596.9
1.5600         -51.5208     -53.3282       1.8074  1075.6
1.6000         -51.6059     -53.6299       2.0239  1204.5
1.6400         -51.7300     -53.9150       2.1850  1300.3
1.6800         -51.8404     -53.6507       1.8102  1077.3
1.7200         -51.8454     -53.4179       1.5725   935.8
1.7600         -51.8446     -53.1260       1.2814   762.6
1.8000         -51.8381     -53.7064       1.8683  1111.8
1.8400         -51.9549     -53.8545       1.8997  1130.5
1.8800         -51.9621     -52.9713       1.0091   600.5
1.9200         -51.9394     -53.6928       1.7533  1043.4
1.9600         -51.9722     -53.5951       1.6230   965.8
2.0000         -52.0628     -54.2315       2.1687  1290.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -52.8649     -52.8649       0.0000     0.0
0.0400         -52.6664     -53.2659       0.5994   356.7
0.0800         -52.4864     -52.8959       0.4095   243.7
0.1200         -52.2897     -53.0392       0.7496   446.1
0.1600         -52.1501     -53.2199       1.0698   636.7
0.2000         -52.0664     -53.3604       1.2940   770.1
0.2400         -51.9606     -53.0532       1.0926   650.2
0.2800         -51.8708     -53.3307       1.4599   868.8
0.3200         -51.7878     -52.7745       0.9868   587.2
0.3600         -51.7463     -52.9392       1.1929   709.9
0.4000         -51.6850     -52.6164       0.9315   554.3
0.4400         -51.6130     -52.9848       1.3718   816.3
0.4800         -51.5939     -52.7865       1.1926   709.7
0.5200         -51.4890     -52.6462       1.1572   688.7
0.5600         -51.4678     -52.4119       0.9441   561.9
0.6000         -51.3493     -52.5554       1.2061   717.8
0.6400         -51.3547     -52.6151       1.2604   750.1
0.6800         -51.2455     -52.2428       0.9973   593.5
0.7200         -51.2396     -52.6788       1.4392   856.5
0.7600         -51.2222     -52.8718       1.6496   981.7
0.8000         -51.2802     -52.9425       1.6624   989.3
0.8400         -51.2358     -52.8257       1.5899   946.2
0.8800         -51.2970     -52.7957       1.4987   891.9
0.9200         -51.2894     -52.7065       1.4171   843.3
0.9600         -51.2704     -52.5025       1.2321   733.2
1.0000         -51.2235     -52.8656       1.6421   977.2
1.0400         -51.2340     -52.4400       1.2060   717.7
1.0800         -51.2288     -52.8087       1.5798   940.2
1.1200         -51.3176     -53.1987       1.8810  1119.4
1.1600         -51.3909     -52.9452       1.5543   925.0
1.2000         -51.4353     -53.3321       1.8967  1128.7
1.2400         -51.4468     -53.0036       1.5569   926.5
1.2800         -51.4247     -52.6940       1.2693   755.4
1.3200         -51.4072     -52.7411       1.3339   793.8
1.3600         -51.4483     -53.0889       1.6405   976.3
1.4000         -51.4859     -53.3033       1.8174  1081.6
1.4400         -51.5368     -53.2668       1.7300  1029.5
1.4800         -51.5686     -53.0849       1.5163   902.3
1.5200         -51.5154     -52.5185       1.0031   596.9
1.5600         -51.5208     -53.3282       1.8074  1075.6
1.6000         -51.6059     -53.6299       2.0239  1204.5
1.6400         -51.7300     -53.9150       2.1850  1300.3
1.6800         -51.8404     -53.6507       1.8102  1077.3
1.7200         -51.8454     -53.4179       1.5725   935.8
1.7600         -51.8446     -53.1260       1.2814   762.6
1.8000         -51.8381     -53.7064       1.8683  1111.8
1.8400         -51.9549     -53.8545       1.8997  1130.5
1.8800         -51.9621     -52.9713       1.0091   600.5
1.9200         -51.9394     -53.6928       1.7533  1043.4
1.9600         -51.9722     -53.5951       1.6230   965.8
2.0000         -52.0628     -54.2315       2.1687  1290.6
