Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -57.6704     -57.6704       0.0000     0.0
0.0400         -57.4607     -57.7642       0.3035   180.6
0.0800         -57.2175     -57.6733       0.4557   271.2
0.1200         -57.0309     -57.5591       0.5282   314.3
0.1600         -56.8644     -57.7671       0.9026   537.2
0.2000         -56.7516     -57.5006       0.7490   445.7
0.2400         -56.6695     -57.8392       1.1697   696.1
0.2800         -56.5213     -57.1745       0.6532   388.7
0.3200         -56.4280     -57.4002       0.9722   578.6
0.3600         -56.3338     -57.8256       1.4918   887.8
0.4000         -56.3115     -57.2130       0.9015   536.5
0.4400         -56.2333     -57.4822       1.2489   743.2
0.4800         -56.1960     -56.9299       0.7338   436.7
0.5200         -56.1229     -57.1476       1.0246   609.8
0.5600         -55.9970     -56.6082       0.6112   363.7
0.6000         -55.8909     -57.3560       1.4650   871.8
0.6400         -55.8810     -57.0808       1.1997   714.0
0.6800         -55.9132     -57.4368       1.5236   906.7
0.7200         -55.8286     -56.6062       0.7776   462.8
0.7600         -55.8336     -57.2049       1.3713   816.1
0.8000         -55.8373     -57.4594       1.6221   965.3
0.8400         -55.7278     -56.5842       0.8564   509.7
0.8800         -55.6727     -57.3367       1.6640   990.2
0.9200         -55.7220     -57.2187       1.4967   890.7
0.9600         -55.7239     -57.0939       1.3699   815.3
1.0000         -55.6689     -57.2523       1.5833   942.2
1.0400         -55.7167     -57.5619       1.8451  1098.1
1.0800         -55.7118     -57.3391       1.6273   968.4
1.1200         -55.6816     -57.1724       1.4908   887.2
1.1600         -55.6869     -57.6740       1.9871  1182.6
1.2000         -55.7340     -57.6770       1.9430  1156.3
1.2400         -55.7234     -57.4095       1.6861  1003.4
1.2800         -55.6993     -57.1149       1.4155   842.4
1.3200         -55.7362     -57.6508       1.9146  1139.4
1.3600         -55.7824     -57.2534       1.4711   875.4
1.4000         -55.7812     -57.5447       1.7635  1049.5
1.4400         -55.8242     -57.8285       2.0043  1192.8
1.4800         -55.8540     -56.9242       1.0702   636.9
1.5200         -55.8559     -57.5399       1.6840  1002.2
1.5600         -55.8597     -57.2151       1.3553   806.5
1.6000         -55.8523     -57.3251       1.4728   876.4
1.6400         -55.8695     -57.3812       1.5117   899.6
1.6800         -55.8573     -57.1437       1.2864   765.5
1.7200         -55.8770     -57.2355       1.3585   808.5
1.7600         -55.8108     -57.3292       1.5184   903.6
1.8000         -55.7847     -57.1856       1.4008   833.6
1.8400         -55.8038     -57.1240       1.3201   785.6
1.8800         -55.8058     -57.2773       1.4715   875.7
1.9200         -55.8176     -57.0104       1.1928   709.9
1.9600         -55.7660     -56.8550       1.0890   648.0
2.0000         -55.7205     -57.3334       1.6129   959.8
