Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -56.1454     -56.1454       0.0000     0.0
0.0400         -56.1078     -56.1117       0.0039     2.3
0.0800         -55.9346     -55.9856       0.0510    30.4
0.1200         -55.7306     -55.9008       0.1701   101.2
0.1600         -55.4987     -55.9127       0.4140   246.4
0.2000         -55.2756     -55.8518       0.5762   342.9
0.2400         -55.0616     -56.0203       0.9587   570.5
0.2800         -54.8878     -55.9561       1.0683   635.8
0.3200         -54.7009     -55.9934       1.2926   769.2
0.3600         -54.5937     -56.1201       1.5264   908.4
0.4000         -54.4369     -55.4419       1.0051   598.1
0.4400         -54.3541     -55.4532       1.0991   654.1
0.4800         -54.2790     -54.9808       0.7018   417.6
0.5200         -54.2232     -55.2653       1.0420   620.1
0.5600         -54.1727     -55.0865       0.9138   543.8
0.6000         -54.0849     -55.3017       1.2168   724.1
0.6400         -54.0555     -55.3527       1.2972   772.0
0.6800         -53.9641     -55.4462       1.4820   882.0
0.7200         -53.9632     -55.6094       1.6462   979.7
0.7600         -53.9219     -55.3122       1.3903   827.4
0.8000         -53.8894     -55.1750       1.2856   765.0
0.8400         -53.9000     -55.0292       1.1291   672.0
0.8800         -53.8572     -54.9286       1.0714   637.6
0.9200         -53.8529     -55.3869       1.5340   912.9
0.9600         -53.8069     -55.2738       1.4670   873.0
1.0000         -53.7955     -55.5244       1.7288  1028.8
1.0400         -53.7451     -55.0237       1.2786   760.9
1.0800         -53.7399     -55.1161       1.3762   819.0
1.1200         -53.7449     -54.9940       1.2491   743.4
1.1600         -53.7663     -54.9653       1.1989   713.5
1.2000         -53.7561     -54.9616       1.2055   717.4
1.2400         -53.7310     -55.1975       1.4665   872.7
1.2800         -53.7007     -55.2979       1.5973   950.5
1.3200         -53.6635     -55.0337       1.3703   815.4
1.3600         -53.6210     -55.0239       1.4029   834.9
1.4000         -53.5704     -55.0493       1.4789   880.1
1.4400         -53.5898     -55.0622       1.4724   876.2
1.4800         -53.5731     -55.1853       1.6122   959.4
1.5200         -53.5949     -55.1180       1.5231   906.4
1.5600         -53.6145     -55.2323       1.6178   962.8
1.6000         -53.6327     -55.4087       1.7760  1056.9
1.6400         -53.6304     -55.2129       1.5825   941.8
1.6800         -53.6140     -55.5396       1.9256  1145.9
1.7200         -53.6323     -55.1272       1.4950   889.7
1.7600         -53.6414     -55.3367       1.6953  1008.9
1.8000         -53.6683     -55.3227       1.6544   984.5
1.8400         -53.6733     -54.8320       1.1587   689.5
1.8800         -53.6353     -54.8112       1.1759   699.8
1.9200         -53.6316     -55.2572       1.6257   967.5
1.9600         -53.6579     -55.5701       1.9122  1138.0
2.0000         -53.7084     -55.0506       1.3423   798.8
