Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -56.6367     -56.6367       0.0000     0.0
0.0400         -56.6092     -56.6133       0.0041     2.4
0.0800         -56.4530     -56.5142       0.0611    36.4
0.1200         -56.2385     -56.4303       0.1919   114.2
0.1600         -55.9824     -56.3696       0.3872   230.4
0.2000         -55.7646     -56.2936       0.5289   314.8
0.2400         -55.5562     -56.3840       0.8278   492.6
0.2800         -55.3780     -56.3429       0.9649   574.2
0.3200         -55.1882     -56.5453       1.3572   807.6
0.3600         -55.0480     -56.5926       1.5446   919.2
0.4000         -54.9021     -56.2638       1.3617   810.4
0.4400         -54.8550     -56.4678       1.6128   959.8
0.4800         -54.8070     -55.5846       0.7776   462.7
0.5200         -54.7734     -55.6508       0.8774   522.2
0.5600         -54.7519     -55.6203       0.8684   516.8
0.6000         -54.6934     -56.1345       1.4411   857.6
0.6400         -54.6327     -56.1916       1.5589   927.7
0.6800         -54.5627     -56.1140       1.5512   923.1
0.7200         -54.5690     -56.1592       1.5902   946.3
0.7600         -54.5013     -55.7213       1.2200   726.0
0.8000         -54.4776     -55.5687       1.0911   649.3
0.8400         -54.4414     -55.4698       1.0284   612.0
0.8800         -54.4322     -56.2098       1.7776  1057.8
0.9200         -54.4125     -55.6200       1.2075   718.6
0.9600         -54.4186     -56.3426       1.9240  1145.0
1.0000         -54.4524     -56.2280       1.7756  1056.7
1.0400         -54.4161     -55.9847       1.5687   933.5
1.0800         -54.4507     -56.0784       1.6277   968.7
1.1200         -54.4219     -55.5191       1.0972   652.9
1.1600         -54.3692     -55.8343       1.4651   871.9
1.2000         -54.3527     -55.6667       1.3140   782.0
1.2400         -54.2775     -55.7096       1.4320   852.2
1.2800         -54.2582     -55.8977       1.6395   975.6
1.3200         -54.2139     -55.3274       1.1135   662.6
1.3600         -54.1762     -55.7314       1.5552   925.5
1.4000         -54.1807     -55.5586       1.3779   820.0
1.4400         -54.1433     -55.5901       1.4468   861.0
1.4800         -54.1183     -55.5572       1.4389   856.3
1.5200         -54.1147     -55.4119       1.2972   772.0
1.5600         -54.0835     -55.3640       1.2805   762.0
1.6000         -54.0498     -55.4801       1.4304   851.2
1.6400         -54.0793     -55.7601       1.6808  1000.2
1.6800         -54.0813     -55.2767       1.1954   711.4
1.7200         -54.0478     -55.4864       1.4386   856.1
1.7600         -54.0094     -55.3234       1.3140   782.0
1.8000         -53.9541     -55.3570       1.4029   834.9
1.8400         -53.9496     -55.4636       1.5140   901.0
1.8800         -53.9103     -55.6357       1.7254  1026.8
1.9200         -53.9638     -55.5925       1.6287   969.2
1.9600         -53.9384     -55.5386       1.6002   952.3
2.0000         -53.9593     -55.8209       1.8616  1107.9
