Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -43.9395     -43.9395       0.0000     0.0
0.0400         -43.9973     -46.7923       2.7950  1663.3
0.0800         -44.0068     -47.2812       3.2743  1948.6
0.1200         -43.9585     -44.1366       0.1780   105.9
0.1600         -44.0163     -46.6048       2.5885  1540.4
0.2000         -43.9979     -47.0283       3.0305  1803.4
0.2400         -43.9106     -44.0605       0.1499    89.2
0.2800         -44.0049     -45.6652       1.6603   988.1
0.3200         -44.0359     -47.1245       3.0886  1838.0
0.3600         -43.9366     -44.6018       0.6652   395.9
0.4000         -44.0673     -45.2119       1.1447   681.2
0.4400         -44.1197     -46.9170       2.7972  1664.6
0.4800         -44.1025     -45.7014       1.5989   951.5
0.5200         -44.2770     -46.0661       1.7891  1064.7
0.5600         -44.5001     -47.6527       3.1526  1876.1
0.6000         -44.7989     -47.7069       2.9080  1730.6
0.6400         -45.1233     -47.9548       2.8314  1685.0
0.6800         -45.3951     -47.8771       2.4820  1477.0
0.7200         -45.5658     -48.0755       2.5097  1493.5
0.7600         -45.7723     -48.6816       2.9093  1731.3
0.8000         -45.9177     -48.2214       2.3037  1370.9
0.8400         -46.0719     -48.1846       2.1127  1257.3
0.8800         -46.2480     -48.6137       2.3657  1407.8
0.9200         -46.3644     -48.1633       1.7989  1070.6
0.9600         -46.4106     -48.2601       1.8495  1100.7
1.0000         -46.4942     -48.3276       1.8333  1091.0
1.0400         -46.6101     -48.6706       2.0604  1226.2
1.0800         -46.6741     -48.4543       1.7803  1059.4
1.1200         -46.7915     -48.7588       1.9673  1170.7
1.1600         -46.8402     -48.7998       1.9596  1166.2
1.2000         -46.8804     -48.6887       1.8083  1076.1
1.2400         -46.8721     -48.3094       1.4374   855.4
1.2800         -46.9153     -48.7802       1.8649  1109.8
1.3200         -46.9762     -48.7122       1.7360  1033.1
1.3600         -46.9622     -48.4195       1.4573   867.3
1.4000         -46.9879     -48.5119       1.5241   907.0
1.4400         -47.0017     -48.2026       1.2010   714.7
1.4800         -47.0021     -48.6632       1.6612   988.6
1.5200         -47.0047     -48.6965       1.6919  1006.8
1.5600         -47.0433     -48.8886       1.8453  1098.1
1.6000         -47.0792     -49.0437       1.9646  1169.1
1.6400         -47.1493     -48.8645       1.7152  1020.7
1.6800         -47.1875     -48.8749       1.6874  1004.2
1.7200         -47.2414     -48.9547       1.7133  1019.6
1.7600         -47.2321     -48.7461       1.5140   901.0
1.8000         -47.2108     -48.6898       1.4790   880.2
1.8400         -47.1786     -48.5932       1.4146   841.8
1.8800         -47.1979     -49.2267       2.0288  1207.3
1.9200         -47.2613     -48.9499       1.6886  1004.9
1.9600         -47.2867     -48.8257       1.5390   915.9
2.0000         -47.2938     -48.7985       1.5047   895.5
