Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -55.0042     -55.0042       0.0000     0.0
0.0400         -54.7938     -55.0716       0.2778   165.3
0.0800         -54.5557     -54.8801       0.3244   193.0
0.1200         -54.3367     -54.7112       0.3744   222.8
0.1600         -54.1407     -54.6571       0.5164   307.3
0.2000         -53.9949     -54.6873       0.6925   412.1
0.2400         -53.8606     -54.4504       0.5898   351.0
0.2800         -53.7867     -55.1416       1.3549   806.3
0.3200         -53.7221     -54.5978       0.8757   521.2
0.3600         -53.6641     -54.9127       1.2486   743.0
0.4000         -53.5781     -54.8233       1.2453   741.1
0.4400         -53.4658     -54.6783       1.2125   721.5
0.4800         -53.4426     -55.0012       1.5586   927.5
0.5200         -53.3410     -54.5474       1.2064   717.9
0.5600         -53.2733     -54.5492       1.2760   759.3
0.6000         -53.2075     -54.8191       1.6116   959.1
0.6400         -53.1969     -55.1171       1.9202  1142.7
0.6800         -53.1249     -54.4034       1.2785   760.8
0.7200         -53.1254     -54.7731       1.6477   980.5
0.7600         -53.0773     -54.1305       1.0532   626.7
0.8000         -53.0656     -54.0467       0.9811   583.9
0.8400         -52.9960     -54.0972       1.1012   655.3
0.8800         -53.0360     -54.5024       1.4664   872.6
0.9200         -53.0390     -54.0210       0.9820   584.4
0.9600         -53.0024     -54.3112       1.3088   778.9
1.0000         -52.9919     -55.1720       2.1801  1297.4
1.0400         -53.0642     -55.1104       2.0463  1217.7
1.0800         -53.1742     -54.8995       1.7253  1026.7
1.1200         -53.2550     -55.2140       1.9591  1165.8
1.1600         -53.3314     -55.4497       2.1183  1260.6
1.2000         -53.4084     -55.1167       1.7084  1016.7
1.2400         -53.3925     -54.9657       1.5732   936.2
1.2800         -53.4795     -55.1063       1.6267   968.1
1.3200         -53.5157     -54.9368       1.4212   845.7
1.3600         -53.4544     -54.8144       1.3599   809.3
1.4000         -53.4323     -55.0469       1.6146   960.8
1.4400         -53.3607     -54.6924       1.3318   792.5
1.4800         -53.3774     -55.2487       1.8713  1113.6
1.5200         -53.4631     -55.0621       1.5991   951.6
1.5600         -53.4809     -55.0360       1.5551   925.4
1.6000         -53.5492     -55.2367       1.6875  1004.3
1.6400         -53.5317     -54.9776       1.4459   860.4
1.6800         -53.5245     -55.2062       1.6817  1000.8
1.7200         -53.5283     -54.6256       1.0972   653.0
1.7600         -53.4642     -55.1097       1.6455   979.2
1.8000         -53.5187     -55.0933       1.5747   937.1
1.8400         -53.5167     -55.1027       1.5860   943.9
1.8800         -53.5292     -54.9166       1.3874   825.7
1.9200         -53.4945     -55.1699       1.6755   997.1
1.9600         -53.5293     -55.0922       1.5629   930.1
2.0000         -53.4941     -54.7454       1.2513   744.7
