Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -52.8801     -52.8801       0.0000     0.0
0.0200         -52.8710     -52.8892       0.0182    11.7
0.0400         -52.7884     -52.8926       0.1043    67.2
0.0600         -52.6939     -52.8629       0.1690   108.9
0.0800         -52.6005     -52.7111       0.1106    71.3
0.1000         -52.5006     -52.6204       0.1197    77.2
0.1200         -52.4118     -52.6771       0.2654   171.1
0.1400         -52.3315     -52.6606       0.3291   212.2
0.1600         -52.2649     -52.7381       0.4732   305.0
0.1800         -52.1934     -52.3993       0.2059   132.8
0.2000         -52.1031     -52.4056       0.3025   195.0
0.2200         -52.0413     -52.6094       0.5681   366.2
0.2400         -51.9834     -52.4285       0.4451   287.0
0.2600         -51.9265     -52.5504       0.6239   402.2
0.2800         -51.8796     -52.4189       0.5393   347.7
0.3000         -51.8171     -52.2985       0.4814   310.4
0.3200         -51.7666     -52.3987       0.6321   407.5
0.3400         -51.7189     -52.2165       0.4976   320.8
0.3600         -51.6561     -52.2187       0.5626   362.7
0.3800         -51.6138     -52.3664       0.7526   485.2
0.4000         -51.5743     -52.1902       0.6159   397.1
0.4200         -51.5278     -52.3317       0.8038   518.2
0.4400         -51.5107     -52.3580       0.8473   546.3
0.4600         -51.4664     -52.0704       0.6039   389.4
0.4800         -51.4409     -52.4630       1.0221   659.0
0.5000         -51.4219     -52.0511       0.6293   405.7
0.5200         -51.3655     -52.0396       0.6740   434.6
0.5400         -51.3523     -52.4283       1.0760   693.7
0.5600         -51.3321     -52.0779       0.7458   480.8
0.5800         -51.3128     -52.3706       1.0578   681.9
0.6000         -51.3050     -52.2035       0.8985   579.2
0.6200         -51.2757     -51.9419       0.6662   429.5
0.6400         -51.2309     -51.8849       0.6540   421.6
0.6600         -51.1902     -51.9238       0.7336   472.9
0.6800         -51.1541     -51.7955       0.6414   413.5
0.7000         -51.1101     -51.7298       0.6197   399.5
0.7200         -51.0555     -51.6022       0.5467   352.5
0.7400         -51.0122     -51.8245       0.8123   523.7
0.7600         -50.9967     -51.9163       0.9197   592.9
0.7800         -50.9789     -52.0255       1.0466   674.7
0.8000         -50.9458     -51.3815       0.4357   280.9
0.8200         -50.8857     -51.4390       0.5534   356.8
0.8400         -50.8413     -51.8036       0.9623   620.4
0.8600         -50.8576     -52.1284       1.2708   819.3
0.8800         -50.8573     -51.7926       0.9353   603.0
0.9000         -50.8351     -51.6054       0.7703   496.6
0.9200         -50.7888     -51.3667       0.5780   372.6
0.9400         -50.7677     -51.7976       1.0299   664.0
0.9600         -50.7570     -51.7196       0.9626   620.6
0.9800         -50.7446     -51.8895       1.1450   738.2
1.0000         -50.7708     -52.0462       1.2754   822.2
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -56.6367     -56.6367       0.0000     0.0
0.0200         -56.6313     -56.6403       0.0091     5.4
0.0400         -56.6092     -56.6133       0.0041     2.4
0.0600         -56.5897     -56.6351       0.0454    27.0
0.0800         -56.4804     -56.5302       0.0498    29.6
0.1000         -56.4071     -56.5452       0.1381    82.2
0.1200         -56.3096     -56.4677       0.1581    94.1
0.1400         -56.2020     -56.3755       0.1735   103.2
0.1600         -56.1115     -56.4156       0.3041   180.9
0.1800         -56.0189     -56.3039       0.2850   169.6
0.2000         -55.9413     -56.3597       0.4184   249.0
0.2200         -55.8460     -56.0530       0.2070   123.2
0.2400         -55.7779     -56.4208       0.6429   382.6
0.2600         -55.6988     -56.0100       0.3112   185.2
0.2800         -55.6447     -56.3929       0.7482   445.2
0.3000         -55.5682     -55.6737       0.1055    62.8
