Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -100.4353    -100.4353       0.0000     0.0
0.0400        -100.1656    -103.3394       3.1739   944.4
0.0800         -99.9003    -100.7797       0.8794   261.7
0.1200         -99.7775    -102.8926       3.1150   926.9
0.1600         -99.5427    -101.5204       1.9777   588.5
0.2000         -99.5431    -103.0984       3.5552  1057.9
0.2400         -99.3548    -101.2409       1.8861   561.2
0.2800         -99.3800    -102.6257       3.2456   965.7
0.3200         -99.1611    -100.6059       1.4447   429.9
0.3600         -99.2128    -102.7925       3.5797  1065.1
0.4000         -99.1060    -102.1892       3.0832   917.4
0.4400         -99.0426    -100.2642       1.2216   363.5
0.4800         -98.9638    -101.1681       2.2043   655.9
0.5200         -98.8874    -102.6113       3.7239  1108.0
0.5600         -98.9948    -101.5084       2.5135   747.9
0.6000         -98.7175    -101.8782       3.1606   940.5
0.6400         -98.7770    -102.1960       3.4190  1017.3
0.6800         -98.8925    -101.9103       3.0178   897.9
0.7200         -98.7242    -102.1412       3.4169  1016.7
0.7600         -98.7455    -102.5087       3.7631  1119.7
0.8000         -98.8123    -102.2264       3.4141  1015.9
0.8400         -98.8662    -100.8985       2.0323   604.7
0.8800         -98.8034    -102.5206       3.7172  1106.1
0.9200         -98.8373    -101.8668       3.0295   901.4
0.9600         -98.9151    -102.3241       3.4091  1014.4
1.0000         -98.9727    -102.0324       3.0597   910.4
1.0400         -98.9782    -102.7122       3.7340  1111.0
1.0800         -99.0252    -102.2947       3.2695   972.8
1.1200         -99.0880    -102.4111       3.3231   988.8
1.1600         -99.0857    -102.5834       3.4977  1040.8
1.2000         -99.1513    -102.6657       3.5144  1045.7
1.2400         -99.2257    -102.3002       3.0744   914.8
1.2800         -99.2784    -102.7921       3.5136  1045.5
1.3200         -99.4429    -102.7005       3.2576   969.3
1.3600         -99.6257    -104.4545       4.8288  1436.8
1.4000         -99.9207    -103.6499       3.7292  1109.6
1.4400        -100.1087    -104.0679       3.9592  1178.1
1.4800        -100.2805    -103.7219       3.4414  1024.0
1.5200        -100.4005    -103.5128       3.1123   926.1
1.5600        -100.4459    -103.3195       2.8736   855.1
1.6000        -100.4911    -103.4928       3.0017   893.2
1.6400        -100.5256    -103.9327       3.4071  1013.8
1.6800        -100.5444    -103.5936       3.0492   907.3
1.7200        -100.6228    -104.4278       3.8050  1132.2
1.7600        -100.7142    -104.3997       3.6855  1096.6
1.8000        -100.7655    -104.2929       3.5275  1049.6
1.8400        -100.8173    -104.0231       3.2058   953.9
1.8800        -100.8027    -103.8199       3.0172   897.8
1.9200        -100.8632    -104.1013       3.2380   963.5
1.9600        -100.9809    -104.5892       3.6082  1073.6
2.0000        -101.0892    -104.8075       3.7183  1106.4
