"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT00684996","PHASE1","TERMINATED","UNKNOWN","0","DRUG","SAFETY","False","NIH",,"28","recurrent renal cell cancer",,"Maximum Tolerated Dose of Bevacizumab , Based on Incidence of Dose-limiting Toxicity (DLT) Graded According to the NCI Common Terminology Criteria for Adverse Events (CTCAE) Version 3.0 (Phase I)"
"NCT01515046","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","SURVIVAL","False","OTHER",,"51","pancreatic neoplasms","Standard of care changed to FOLFIRINOX; poor accrual.","Overall Survival"
"NCT00820703","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","INDUSTRY",,"8","diabetic foot ulcer","For business reasons","To evaluate the safety and clinical effect of NexagonÂ® administered topically to diabetic foot ulcers."
"NCT01108003","NA","TERMINATED","ENROLLMENT","0.8","DRUG","SAFETY","False","OTHER",,"66","recurrent bladder cancer","low accrual","Toxicity as Assessed by National Cancer Institute (NCI) Common Toxicity Criteria Version 3.0"
"NCT05934903","NA","TERMINATED","UNKNOWN","0","DEVICE","OTHER","False","OTHER",,"19","status epilepticus","Unable to meet adequate enrolment numbers for feasibility.","Recruitment capability of the study site- Incidence"
"NCT04764825","PHASE4","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"40.1","pain, postoperative","Due to extremely slow inclusion rates.","Opioid consumption (mean cumulative MME)"
"NCT04175717","NA","TERMINATED","EXTERNAL","0.8","OTHER","OTHER","False","OTHER",,"3.5","post intensive care unit syndrome","Due to COVID pandemic","The number of participants, who have completed the nine weeks physiotherapy-led follow-up programme"
"NCT02092389","NA","TERMINATED","ENROLLMENT","0.6","OTHER","BIOMARKER","False","INDUSTRY",,"20","moderate to severe ulcerative colitis","Recruitment below expectation","Percentage of Patients With Fecal Calprotectin (fC) Level â¤ 150 Âµg/g After 12 Months of Treatment With Adalimumab"
"NCT02019589","PHASE3","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"9.3","secondary amenorrhea",,"â¢ The proportion of subjects at Cycle 3 Day 24 Â± 1 day on active treatment compared to placebo with complete secretory activity on endometrial biopsy."
"NCT00520520","NA","TERMINATED","UNKNOWN","0","OTHER","OTHER","True","OTHER",,,"ventricular fibrillation",,
"NCT01362582","PHASE3","TERMINATED","UNKNOWN","0","DRUG","QOL","False","OTHER",,"54","pancreatic cancer",,"Questionnaire EORTC - Quality of Life"
"NCT02116959","PHASE1","TERMINATED","ENROLLMENT","0.8","DRUG","SAFETY","False","OTHER",,"58","advanced intra-ocular retinoblastoma","Low accrual","Adverse Event evaluation for newly diagnosed advanced retinoblastoma treated with melphalan therapy and systemic chemotherapy"
"NCT00800280","PHASE1","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"1","generalized anxiety disorder","Please see Detailed Description for termination reason.","PD 0332334 area under the curve (AUC) from 0 to infinity (AUCinf)"
"NCT05368688","NA","TERMINATED","ENROLLMENT","0.6","OTHER","SURVIVAL","False","INDUSTRY",,"5.7","colorectal cancer","Recruitment rate was too low to continue the study.","The molecular features of Fusobacterium (Fn) correlated with colorectal cancer (onset, recurrence, metastasis and survival)"
"NCT04627142","PHASE1","TERMINATED","BUSINESS","0.6","DRUG","SAFETY","False","INDUSTRY",,"13.8","metastatic colorectal cancer (crc)","Sponsor decision","Maximum tolerated dose (MTD) based on the number of dose limiting toxicities (DLTs) in the MTD evaluation period"
