"nct_id","intervention_name","failure_token","phase_token","chembl_id","molecule_type","max_phase","molecular_weight","alogp","num_ro5_violations","fda_approved","application_number","approval_date","chembl_match","fda_match"
"NCT02128841","Rivaroxaban","ENROLLMENT","PHASE2",,,,,,,"True","ANDA217810","20250502","False","True"
"NCT00732940","Belimumab 100 mg SC","BUSINESS","PHASE2",,,,,,,"True","ANDA076047","20071227","False","True"
"NCT00005774","Early surfactant","ENROLLMENT","PHASE3",,,,,,,"True","BLA020032","19981209","False","True"
"NCT02443103","Guanabenz acetate","ENROLLMENT","NA",,,,,,,"True","NDA217417","20251210","False","True"
"NCT01139164","Regimen A","ENROLLMENT","PHASE2",,,,,,,"True","ANDA090560","20210127","False","True"
"NCT02476994","Clinolipid","REGULATORY","PHASE4",,,,,,,"False",,,"False","False"
"NCT04927169","Interleukin-7","ENROLLMENT","PHASE2",,,,,,,"False",,,"False","False"
"NCT02053103","PF-05175157","SAFETY","PHASE2",,,,,,,"False",,,"False","False"
"NCT04260802","OC-001","BUSINESS","PHASE1",,,,,,,"False",,,"False","False"
"NCT04088734","ABO-102","EFFICACY","PHASE1",,,,,,,"False",,,"False","False"
"NCT00854750","ACTHAR","ENROLLMENT","PHASE4",,,,,,,"False",,,"False","False"
"NCT01195103","Fospropofol disodium","BUSINESS","PHASE4",,,,,,,"True","NDA019545","19930928","False","True"
"NCT00417690","4-Aminosalicylic acid","ENROLLMENT","PHASE2",,,,,,,"True","ANDA214445","20241206","False","True"
"NCT02359500","68Ga-DOTATOC PET","BUSINESS","PHASE1",,,,,,,"True","ANDA203938","20131209","False","True"
"NCT01342016","tacrolimus capsule","SAFETY","PHASE3",,,,,,,"True","ANDA080635",,"False","False"
"NCT00073372","Abciximab","ENROLLMENT","PHASE3",,,,,,,"False",,,"False","False"
"NCT00933426","Lenalidomide","ENROLLMENT","PHASE1",,,,,,,"True","ANDA210435","20260427","False","True"
"NCT01868984","Paclitaxel","BUSINESS","PHASE2",,,,,,,"True","ANDA091540","20110929","False","True"
"NCT00466713","Rosiglitazone therapy","SAFETY","NA",,,,,,,"True","NDA205767","20130705","False","True"
"NCT01457820","Allopurinol","ENROLLMENT","PHASE4",,,,,,,"True","ANDA214443","20220307","False","True"
"NCT02966119","Clopidogrel or Aspirin and/or Dypyridamole","ENROLLMENT","PHASE3",,,,,,,"False",,,"False","False"
"NCT02900651","MAK683","SAFETY","PHASE1",,,,,,,"False",,,"False","False"
"NCT05144009","Loncastuximab Tesirine","SAFETY","PHASE2",,,,,,,"True","BLA761196","20260220","False","True"
"NCT04276415","DS-6157a","BUSINESS","PHASE1",,,,,,,"False",,,"False","False"
"NCT00466869","Betahistine","BUSINESS","PHASE2",,,,,,,"False",,,"False","False"
"NCT00977067","GDC-0152","SAFETY","PHASE1",,,,,,,"False",,,"False","False"
"NCT03104270","Elotuzumab","ENROLLMENT","PHASE2",,,,,,,"True","BLA761035","20151130","False","True"
"NCT01125683","AZD1446","ENROLLMENT","PHASE2","CHEMBL2179529","Small molecule","2.0","240.69","1.22","0","False",,,"True","False"
"NCT01111539","Escitalopram","SAFETY","PHASE3",,,,,,,"True","NDA021323","20031218","False","True"
"NCT03825939","Intravenous Placebo","ENROLLMENT","PHASE4",,,,,,,"False",,,"False","False"
"NCT03099161","preladenant","EFFICACY","PHASE1",,,,,,,"False",,,"False","False"
"NCT00939939","sitagliptin","ENROLLMENT","PHASE4",,,,,,,"True","NDA022044","20201204","False","True"
"NCT04006652","ApoGraft","BUSINESS","PHASE1",,,,,,,"False",,,"False","False"
"NCT03785067","telmisartan 20mg + amlodipine 2.5mg +indapamide 1.25mg","BUSINESS","PHASE3",,,,,,,"True","ANDA074498","19970804","False","True"
"NCT03598036","Voclosporin","ENROLLMENT","PHASE2",,,,,,,"True","NDA213716","20210122","False","True"
"NCT05085964","RNA antisense oligonucleotide for intravitreal injection","BUSINESS","PHASE2",,,,,,,"True","NDA018037","19991124","False","True"
"NCT00457899","Quetiapine IR (Immediate Release)","ENROLLMENT","PHASE3",,,,,,,"True","ANDA076298","20101112","False","True"
"NCT04188509","Voxelotor","REGULATORY","PHASE3",,,,,,,"True","NDA216157","20211217","False","True"
"NCT04209179","PCO371","SAFETY","PHASE1",,,,,,,"False",,,"False","False"
"NCT00082095","Pegylated liposomal doxorubicin","ENROLLMENT","PHASE3",,,,,,,"True","ANDA208657","20171103","False","True"
"NCT01582568","Certolizumab","ENROLLMENT","NA",,,,,,,"True","BLA125160","20101006","False","True"
"NCT00528580","Simvastatin","ENROLLMENT","PHASE2",,,,,,,"True","ANDA208699","20200124","False","True"
"NCT02679560","Liposomal Bupivacaine","ENROLLMENT","PHASE2",,,,,,,"True","ANDA070966","20010608","False","True"
"NCT05375084","BBP-398 with nivolumab","BUSINESS","PHASE1",,,,,,,"True","NDA211733","20220110","False","True"
"NCT01058005","BG00002 (natalizumab)","ENROLLMENT","PHASE3",,,,,,,"True","BLA761322","20260202","False","True"
"NCT01370863","SPD557","ENROLLMENT","PHASE2",,,,,,,"False",,,"False","False"
"NCT05986422","Methylprednisolone","SAFETY","PHASE2",,,,,,,"True","ANDA210043","20240507","False","True"
"NCT04596995","Rozanolixizumab","SAFETY","PHASE3",,,,,,,"True","BLA761286","20251209","False","True"
"NCT02723006","TAK-580","EFFICACY","PHASE1",,,,,,,"False",,,"False","False"
"NCT02562443","rigosertib","REGULATORY","PHASE3",,,,,,,"False",,,"False","False"
"NCT03846570","Formoterol-beclomethasone","EXTERNAL","PHASE3",,,,,,,"True","ANDA216486","20221125","False","True"
"NCT06779851","BPT567","BUSINESS","PHASE1",,,,,,,"False",,,"False","False"
"NCT03400176","VAY736","BUSINESS","PHASE1",,,,,,,"False",,,"False","False"
"NCT01493505","AMG 386","EXTERNAL","PHASE3",,,,,,,"True","ANDA210715","20191106","False","True"
"NCT01895127","Eculizumab","EFFICACY","PHASE2",,,,,,,"True","BLA761333","20250418","False","True"
"NCT01237340","SaizenÂ®","REGULATORY","PHASE3",,,,,,,"False",,,"False","False"
"NCT03002506","Ceftolozane/tazobactam","ENROLLMENT","PHASE4",,,,,,,"False",,,"False","False"
"NCT01570192","IV meropenem","ENROLLMENT","PHASE2",,,,,,,"True","NDA215212","20230726","False","True"
"NCT02907073","BF4","REGULATORY","PHASE1",,,,,,,"False",,,"False","False"
"NCT00159458","Gemcitabine and oxaliplatin","ENROLLMENT","PHASE2",,,,,,,"True","ANDA076298","20101112","False","True"
"NCT04579757","Surufatinib and Tislelizumab _ Part 1","BUSINESS","PHASE1",,,,,,,"True","ANDA076298","20101112","False","True"
"NCT02510534","Menopur 150 international units","ENROLLMENT","PHASE1",,,,,,,"True","NDA208271","20160719","False","True"
"NCT01045512","fluvastatin","ENROLLMENT","PHASE2",,,,,,,"True","ANDA209397","20210426","False","True"
"NCT00807170","ZD6474 (Vandetanib)","ENROLLMENT","PHASE1",,,,,,,"True","NDA022405","20250923","False","True"
"NCT03435640","NKTR-262","SAFETY","PHASE1",,,,,,,"False",,,"False","False"
"NCT00532038","ThermoProfenâ¢ (Matrix Transdermal Ketoprofen/CHADDâ¢ System)","BUSINESS","PHASE3",,,,,,,"False",,,"False","False"
"NCT00501371","MCS","REGULATORY","PHASE3",,,,,,,"False",,,"False","False"
"NCT02335814","FLX925","BUSINESS","PHASE1",,,,,,,"False",,,"False","False"
"NCT05821777","LB101","SAFETY","PHASE1",,,,,,,"False",,,"False","False"
"NCT05113342","Descartes-25","ENROLLMENT","PHASE1",,,,,,,"False",,,"False","False"
"NCT03809039","MT-6345","REGULATORY","PHASE1",,,,,,,"False",,,"False","False"
"NCT02855268","lademirsen (SAR339375)","REGULATORY","PHASE2",,,,,,,"False",,,"False","False"
"NCT04159701","LY3454738","EFFICACY","PHASE2",,,,,,,"False",,,"False","False"
"NCT00981773","Maraviroc","ENROLLMENT","PHASE4",,,,,,,"True","ANDA203347","20220207","False","True"
"NCT05630937","NMS-01940153E","EFFICACY","PHASE1",,,,,,,"False",,,"False","False"
"NCT01481610","Lumiracoxib","SAFETY","PHASE2",,,,,,,"False",,,"False","False"
"NCT00718965","AVE5530","EFFICACY","PHASE3",,,,,,,"False",,,"False","False"
"NCT01441765","CT-011","BUSINESS","PHASE2",,,,,,,"False",,,"False","False"
"NCT04898023","zinc-green tea extract-ascorbic acid","BUSINESS","PHASE2",,,,,,,"True","ANDA214445","20241206","False","True"
"NCT00415909","Imatinib Mesylate (IM)","ENROLLMENT","PHASE2",,,,,,,"True","ANDA207922","20241219","False","True"
"NCT00387036","Fluticasone","BUSINESS","PHASE2",,,,,,,"True","NDA209022","20200423","False","True"
"NCT00868998","Gemcitabine, docetaxel, and capecitabine","ENROLLMENT","PHASE2",,,,,,,"True","ANDA076298","20101112","False","True"
"NCT01313390","docetaxel","ENROLLMENT","PHASE1",,,,,,,"True","NDA218711","20241023","False","True"
"NCT01337154","Tamibarotene","EFFICACY","PHASE2",,,,,,,"False",,,"False","False"
"NCT00927212","AS101 ointment","BUSINESS","PHASE2",,,,,,,"True","ANDA080021","19960418","False","True"
"NCT02598297","Ruxolitinib","ENROLLMENT","PHASE3",,,,,,,"True","NDA202192","20151006","False","True"
"NCT02216513","desferrioxamine (DFO)","EXTERNAL","NA",,,,,,,"False",,,"False","False"
"NCT01046214","Bupropion HCl","ENROLLMENT","PHASE1",,,,,,,"True","ANDA076047","20071227","False","True"
"NCT01483820","TPI 287","ENROLLMENT","PHASE1",,,,,,,"True","ANDA210092","20200225","False","True"
"NCT01006252","Tasisulam-sodium","SAFETY","PHASE3",,,,,,,"True","NDA018037","19991124","False","True"
"NCT03870841","PC945","EXTERNAL","PHASE2",,,,,,,"False",,,"False","False"
