"nct_id","phase_token","status_token","failure_token","failure_confidence","intervention_type","endpoint_category","endpoint_miss","sponsor_type","enrollment_ratio","duration_months","condition_token","why_stopped_raw","primary_endpoint_raw"
"NCT00787462","NA","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"60","small-fiber neuropathy","Restrictive inclusion criteria/limited pool of suitable subjects with SFN.","Neuropathic pain score"
"NCT01616862","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"18","pseudomonas aeruginosa",,"Primary objective: the incidence of Pseudomonas aeruginosa colonization in the upper respiratory tract of parents of children with CF."
"NCT04673162","PHASE3","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","OTHER_GOV",,"6.8","covid19",,"Length of hospitalization"
"NCT03265262","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"14","food allergy",,"BAT positive and negative predictive values as compared with OFC"
"NCT01134562","PHASE1","COMPLETED","UNKNOWN","0","DRUG","SAFETY","False","INDUSTRY",,"6.8","hyperparathyroidism, secondary",,"Number of Participants With Adverse Events"
"NCT02540746","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"31","mental disorders",,"Change from Baseline in Emotion Regulation throughout 12-week ERG group, at post ERG group and 16-week follow-up to group."
"NCT01686646","PHASE3","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"12","common cold",,"Change From Baseline in Number of Accurate Responses to Rapid Visual Information Processing (RVIP) Cognitive Test"
"NCT01663246","NA","COMPLETED","UNKNOWN","0","PROCEDURE","OTHER","False","OTHER",,"32","head and neck cancer",,"prevalence of dental caries in patients after PS-IMRT"
"NCT04267146","PHASE1","COMPLETED","UNKNOWN","0","DRUG","SURVIVAL","False","OTHER",,"64.4","high grade glioma",,"Event Free Survival"
"NCT00456846","PHASE2","TERMINATED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"63.9","metastatic breast cancer",,"Percentage of Participants With Objective Confirmed Complete or Partial Overall Response According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.0 Based on Investigator and Independent Reviewers"
"NCT03224403","PHASE3","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"8.8","post-operative dental pain",,"Time to Confirmed Perceptible Pain Relief"
"NCT03004027","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"3.9","social anxiety",,"Change in Brief Fear of Negative Evaluation-II at four weeks (Carleton, Collimore, & Asmundson, 2007)"
"NCT00003627","PHASE3","COMPLETED","UNKNOWN","0","DRUG","OTHER","True","OTHER",,"147","head and neck cancer",,
"NCT04941027","NA","COMPLETED","UNKNOWN","0","OTHER","BIOMARKER","False","OTHER",,"54.6","neurofibromatosis 1",,"Determination of genetic variants associated with clinical presentations of NF1."
"NCT04890327","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"39.7","gynecologic cancer",,"Proportion of subjects with high quality family health history (FHH)"
"NCT01089127","PHASE3","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"4","chronic obstructive pulmonary disease",,"Trough Forced Expiratory Volume in 1 Second (FEV1) 24 Hours Post-dose at the End of the Study (Week 2 + 1 Day, Day 15)"
"NCT00268827","PHASE4","COMPLETED","UNKNOWN","0","DRUG","SAFETY","False","OTHER",,"2","hiv-1",,"To compare the tolerability and acceptance of patients on the KaletraÂ® soft gel with that of KaletraÂ® tablet formulation utilizing the Symptoms Distress Module developed by the ACTG and the Center Epidemiological S"
"NCT02012127","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","INDUSTRY",,"9","acromegaly",,"Description of the most characteristic sign-and-symptom associations of acromegaly, collected by a patient questionnaire."
"NCT00005027","PHASE2","COMPLETED","UNKNOWN","0","DRUG","OTHER","True","OTHER",,"57","kidney cancer",,
"NCT02930161","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","INDUSTRY",,"28.4","non-alcoholic fatty liver disease","Low recruitment","Proportion of responders to treatment"
"NCT02774161","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"13.6","cirrhosis",,"Mid-band fit"
"NCT00596661","PHASE1","COMPLETED","UNKNOWN","0","DEVICE","SAFETY","False","INDUSTRY",,"16","coronary artery disease",,"Major Adverse Cardiac Events(MACE). MACE defined as Cardiac Death, MI(Q-wave and Non Q-wave) and Rarget Vessel Revascularization (TVR)"
"NCT04839627","NA","COMPLETED","UNKNOWN","0","OTHER","BIOMARKER","False","OTHER",,"23.5","infertility",,"Serum progesterone levels on the day of embryo transfer"
"NCT01658761","NA","COMPLETED","UNKNOWN","0","PROCEDURE","OTHER","False","OTHER",,"162","maculopathy",,"Visual acuity"
"NCT00340561","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","True","NIH",,"17.9","learning",,
"NCT05293561","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"18","cognitive impairment",,"Cognitive impairment"
"NCT01068561","PHASE1","COMPLETED","UNKNOWN","0","BIOLOGICAL","OTHER","False","OTHER",,"9.1","retinitis pigmentosa",,"severe visual loss, defined as a drop in 15 letters on ETDRS visual acuity scale"
"NCT00089661","PHASE3","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","INDUSTRY",,"55.8","breast cancer",,"Lumbar Spine Bone Mineral Density Percent Change From Baseline at Month 12"
"NCT05452161","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"17.8","arthroplasty, replacement, hip",,"Hospital stay"
"NCT03190642","PHASE4","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"23.9","post-operative edema",,"Post-operative edema"
"NCT02699242","NA","COMPLETED","UNKNOWN","0","DEVICE","OTHER","False","OTHER",,"14","endotracheal intubation",,"Performance of Fiberoptic intubation assessed by validated 40 point Global Rating Scale (GRS)"
"NCT04313686","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"38.6","epilepsy",,"Beck Anxiety Inventory (BAI)"
"NCT03284086","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"8","spinal cord injuries",,"Peak oxygen uptake"
"NCT00151086","PHASE1","COMPLETED","UNKNOWN","0","DRUG","SAFETY","False","OTHER",,"56","prostate cancer",,"Tolerable Dose of Vinorelbine in Combination with Estramustine"
"NCT00849186","NA","COMPLETED","UNKNOWN","0","DRUG","SAFETY","False","OTHER",,"32","kidney cancer",,"Safety of Sunitinib Malate (SM)"
"NCT02992886","PHASE2","COMPLETED","UNKNOWN","0","OTHER","SURVIVAL","False","OTHER",,"59","rectal neoplasms malignant",,"2-year disease-free survival probability (%)"
"NCT04568486","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"42","type 2 diabetes",,"Hemoglobin A1c"
"NCT01396486","PHASE4","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"86.2","pediatric bipolar spectrum disorders",,"Improvement in Mania Symptoms by Change in Young Mania Rating Scale (YMRS)"
"NCT02517970","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"42","classical music",,"Infant intake within a feeding (mL)"
"NCT03305770","NA","COMPLETED","UNKNOWN","0","DEVICE","OTHER","False","INDUSTRY",,"4.3","myopia",,"Monocular Visual Acuity (VA) With Contact Lenses at Each Visit (Snellen)"
"NCT04844970","PHASE2","TERMINATED","ENROLLMENT","0.6","DRUG","OTHER","False","OTHER",,"7.2","metastatic pancreatic cancer","The study closure was initiated by the financial sponsor and agreed upon by the site PI. The study is closing because of low enrollment and insufficient funds.","Percent Weight Change From Baseline to Week 25"
"NCT00504270","PHASE2","COMPLETED","UNKNOWN","0","DRUG","SAFETY","False","INDUSTRY",,"26.1","psoriasis",,"Adverse events (AEs), laboratory parameters, pharmacokinetics"
"NCT00990470","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","True","OTHER",,"58","liver transplantation",,
"NCT01328470","PHASE4","COMPLETED","UNKNOWN","0","DRUG","OTHER","False","OTHER",,"11","chronic kidney disease",,"The differences of platelet aggregation according to the anti-platelet therapy."
"NCT00839670","PHASE3","TERMINATED","EXTERNAL","0.6","OTHER","OTHER","False","OTHER",,"27.9","stroke","departure of the investigator coordinator into other country","Motor activity log scale"
"NCT04776070","NA","COMPLETED","UNKNOWN","0","OTHER","OTHER","False","OTHER",,"9.2","disease-related malnutrition",,"malnutrition diagnosis"
